issue_number,url,title,input_sha256,retrieval_complete,truncated,reviewer,review_action,review_route,jev_status,jev_route,jev_reason,route_agrees,review_design,jev_design_probability,jev_design_label,review_agent_behavior,jev_agent_behavior_probability,jev_agent_behavior_label,review_memory,jev_memory_probability,jev_memory_label,review_cross_repo,jev_cross_repo_probability,jev_cross_repo_label,review_substance,jev_substance_probability,jev_substance_label,review_design_context,jev_design_context_probability,jev_design_context_label,review_reason,review_flags,review_evidence,input_file,request_file,review_file,result_file,response_file
3176,https://github.com/OpenHands/software-agent-sdk/issues/3176,Proposal: extend defense_in_depth PatternSecurityAnalyzer with Agent Threat Rules signatures,c2d1c0995525da21d1bf9f84f4ec0c500a4a6edaa7684b1001971d341249bd0d,True,False,field_notes_runtime,investigate,write,ok,write,relevant_with_substance,True,yes,0.93,yes,yes,0.7,yes,no,0.05,no,no,0.29,no,yes,0.8,yes,yes,0.87,yes,"The proposal offers concrete integration tradeoffs for agent threat detection: rule isolation, vendoring, detector IDs and telemetry compatibility. Its external rule project does not meet the specific three-repository cross-repo category.","[""incidental_keyword""]","[{""text"": ""are there detector ID naming conventions or telemetry contracts I should preserve so downstream consumers do not regress."", ""supports"": [""design"", ""substance"", ""design_context""]}]",inputs/group-2.json,requests/3176.json,reviews/group-2-tail.json,results/3176.json,responses/3176/attempt-01.json
3442,https://github.com/OpenHands/software-agent-sdk/issues/3442,[Feature]: Intelligent Model Selection,902eb911a344fccceda8258fc2ce18935d0bfae7982a0fff0a79067f7ef275cb,True,False,field_notes_runtime,investigate,write,ok,defer,uncertain_design_context,False,yes,0.95,yes,yes,0.93,yes,no,0.41,no,no,0.29,no,yes,0.83,yes,yes,0.69,no,"Task-aware model routing connects evaluation quality, cost, transparency and mid-session compatibility. The implementation remains an open choice, but the requested user behavior is sufficiently clear.","[""standalone_issue_scope""]","[{""text"": ""selects the highest-scoring available model for that category"", ""supports"": [""agent_behavior"", ""design_context""]}]",inputs/group-1.json,requests/3442.json,reviews/group-1.json,results/3442.json,responses/3442/attempt-01.json
3495,https://github.com/OpenHands/software-agent-sdk/issues/3495,step-3.7-flash: vision support not detected at runtime (LiteLLM proxy /v1/model/info lookup returns None),2f7386c3a7f646d47c1b16519676297ef839ef179f1800ec2abcbe7289067783,True,False,field_notes_pipeline,investigate,write,ok,write,relevant_with_substance,True,yes,0.87,yes,yes,0.91,yes,no,0.06,no,no,0.32,no,yes,0.85,yes,yes,0.81,yes,"Capability discovery silently disables a model's vision evaluation, coupling runtime behavior to proxy authorization and metadata availability. Explicit registration overrides versus remote discovery is a clear design question; the suspected root cause is appropriately distinguished from observations.",[],"[{""text"": ""It only affects whether the SDK *believes* the model is vision-capable enough to actually execute the vision test."", ""supports"": [""agent_behavior"", ""substance""]}]",inputs/group-2.json,requests/3495.json,reviews/group-2.json,results/3495.json,responses/3495/attempt-01.json
3549,https://github.com/OpenHands/software-agent-sdk/issues/3549,Investigate frozen LLM fixture replay bypass in hello-world cross test,e1bbe902021df000e51c64b663e35269e8bf0c0af54344cf4d546d9f53fcabc6,True,False,field_notes_pipeline,investigate,write,ok,defer,uncertain_design_context,False,yes,0.86,yes,yes,0.71,yes,no,0.73,yes,no,0.28,no,yes,0.78,yes,yes,0.57,no,"A test advertised as replaying real frozen trajectories actually substitutes synthetic responses. The choice between faithful deterministic replay and clearer mock-only tests affects what agent behavior the suite can establish, and is sufficiently posed without a chosen solution.",[],"[{""text"": ""first-class deterministic replay suite for real LLM trajectories"", ""supports"": [""design"", ""agent_behavior"", ""substance""]}]",inputs/group-2.json,requests/3549.json,reviews/group-2.json,results/3549.json,responses/3549/attempt-01.json
3560,https://github.com/OpenHands/software-agent-sdk/issues/3560,Supply-chain typosquat detection: a deterministic sibling analyzer for the security seam,9626f85e12af037f79a1a7f0a583e03c1adde66092aa84aa85cd082be87e5bc0,True,False,field_notes_pipeline,investigate,write,ok,write,relevant_with_substance,True,yes,0.86,yes,yes,0.85,yes,no,0.04,no,no,0.25,no,yes,0.85,yes,yes,0.9,yes,"Dependency identity adds a distinct security signal beyond command shape. Offline similarity detection, false-positive guards, and human confirmation create a clear agent-tool safety tradeoff, with scope and non-goals adequately stated.",[],"[{""text"": ""It never hard-denies; paired with `ConfirmRisky` it asks the human"", ""supports"": [""design"", ""agent_behavior"", ""design_context""]}]",inputs/group-2.json,requests/3560.json,reviews/group-2.json,results/3560.json,responses/3560/attempt-01.json
3606,https://github.com/OpenHands/software-agent-sdk/issues/3606,[Roadmap] System-prompt section registry + variant strategies,bceed22bfee52932b58145419d9c11c16ef092551a2e3270436459c136df4860,True,False,field_notes_site,investigate,write,ok,write,relevant_with_substance,True,yes,0.95,yes,yes,0.96,yes,no,0.57,no,no,0.19,no,yes,0.85,yes,yes,0.77,yes,A typed prompt-section registry makes cache tiers and interaction variants explicit and testable. This concerns prompt construction and cache performance; long-term agent memory is explicitly outside scope.,[],"[{""text"": ""enable per-section unit tests and A/B swaps"", ""supports"": [""design"", ""agent_behavior"", ""substance""]}]",inputs/group-3.json,requests/3606.json,reviews/group-3.json,results/3606.json,responses/3606/attempt-01.json
3612,https://github.com/OpenHands/software-agent-sdk/issues/3612,[Prompt registry] Phase 4 — Feature payoffs: shell-aware prompt (#85) + interaction variant (#1317),c7667d279cf0bae95fc2c4ce16da12fc76b59a79a47443d5ddffd7ba7d1cd775,True,False,field_notes_site,investigate,write,ok,write,relevant_with_substance,True,yes,0.85,yes,yes,0.96,yes,no,0.27,no,no,0.66,yes,yes,0.75,yes,yes,0.8,yes,"Typed prompt sections bind shell instructions to actual tools and introduce interaction-dependent verification/style policy. The intended changes to model behavior and compatibility are explicit, even though this is one phase of a larger roadmap.",[],"[{""text"": ""Interactive mode produces a measurably terser, less-verification-heavy prompt"", ""supports"": [""agent_behavior"", ""design_context""]}]",inputs/group-3.json,requests/3612.json,reviews/group-3.json,results/3612.json,responses/3612/attempt-01.json
3797,https://github.com/OpenHands/software-agent-sdk/issues/3797,Route Laminar and agent-server INFO logs through structured non-error logging,5db2faea5613c66e05d956626fe05110fac1b8b949bc81f9dcff71631fa7e22b,True,False,field_notes_site,skip,skip,ok,write,relevant_with_substance,False,no,0.86,yes,no,0.31,no,no,0.03,no,no,0.77,yes,no,0.86,yes,yes,0.85,yes,"The description fully identifies why INFO logs become error alerts and gives logging/configuration fixes and tests. This is ordinary observability plumbing, without an agent-behavior, memory or consequential architecture question.",[],"[{""text"": ""These should remain visible as INFO, not page application-failure monitors."", ""supports"": [""design_context""]}]",inputs/group-3.json,requests/3797.json,reviews/group-3.json,results/3797.json,responses/3797/attempt-01.json
3884,https://github.com/OpenHands/software-agent-sdk/issues/3884,Proposal: watchable browser-session video recording (transfuse a few techniques from executor's e2e harness),08563702f9822df71d642353d24b6d9eac58f5ce39cb56e07e915c7e6b9d1d2a,True,False,field_notes_pipeline,investigate,write,ok,write,relevant_with_substance,True,yes,0.92,yes,yes,0.66,yes,no,0.18,no,no,0.18,no,yes,0.89,yes,yes,0.83,yes,"Evidence capture must survive the very failures it is intended to explain, with opt-in pacing and bounded integration scope. The proposal connects agent verification behavior to resource-finalization design and discusses existing capability uncertainty without making the design question unclear.",[],"[{""text"": ""the failing run is exactly the one whose footage you need, and a naive teardown loses it."", ""supports"": [""design"", ""agent_behavior"", ""substance""]}]",inputs/group-2.json,requests/3884.json,reviews/group-2.json,results/3884.json,responses/3884/attempt-01.json
3903,https://github.com/OpenHands/software-agent-sdk/issues/3903,[Bug]: Large command output consumed over 20k tokens / [Feat]: on-demand loading of more output,08d3e4d3ccc14cc6b48669fdbbb82a7dbf4f5d255ac3633db5856f1349ef718b,True,False,field_notes_runtime,investigate,write,ok,write,relevant_with_substance,True,yes,0.93,yes,yes,0.96,yes,yes,0.97,yes,no,0.33,no,yes,0.86,yes,yes,0.78,yes,"The issue clearly distinguishes durable full output from bounded model context and proposes selective retrieval. It supplies a useful memory, observation and reasoning-cost design question despite missing version fields.",[],"[{""text"": ""Allow the LLM to request additional portions of the output on demand, loading them from the conversation log only when needed."", ""supports"": [""design"", ""agent_behavior"", ""memory""]}]",inputs/group-2.json,requests/3903.json,reviews/group-2-tail.json,results/3903.json,responses/3903/attempt-01.json
3907,https://github.com/OpenHands/software-agent-sdk/issues/3907,feat: forward sub-agent (TaskToolSet) inner events to the live conversation stream,cc64cf7ca2d09707b777d63b4a3961036f6f07f6f7399ffb997e9f292a8ba469,True,False,field_notes_site,investigate,write,ok,write,relevant_with_substance,True,yes,0.96,yes,yes,0.82,yes,yes,0.44,no,yes,0.94,yes,yes,0.89,yes,yes,0.91,yes,"The proposal explicitly separates live subagent observability from the parent's persisted/model history, and spans SDK forwarding plus OpenHands app-server storage. Correlation, opt-in behavior and isolation tradeoffs are developed enough for a design note.",[],"[{""text"": ""**Forward, don't persist into the parent.**"", ""supports"": [""design"", ""memory"", ""design_context""]}]",inputs/group-3.json,requests/3907.json,reviews/group-3.json,results/3907.json,responses/3907/attempt-01.json
3914,https://github.com/OpenHands/software-agent-sdk/issues/3914,Deprecate and remove custom Jinja system prompt fallback,5fe4fb866a837cb5280f38ab5d502299177630e9fbe38067d1f4741526383a43,True,False,field_notes_runtime,investigate,write,ok,write,relevant_with_substance,True,yes,0.91,yes,yes,0.88,yes,no,0.08,no,no,0.26,no,yes,0.79,yes,yes,0.85,yes,"Removing a second prompt-rendering engine while preserving supported customization raises a clear migration and authority contract, with a defined deprecation runway.",[],"[{""text"": ""keeps a second prompt-rendering engine alive"", ""supports"": [""design"", ""agent_behavior""]}]",inputs/group-1.json,requests/3914.json,reviews/group-1.json,results/3914.json,responses/3914/attempt-01.json
3988,https://github.com/OpenHands/software-agent-sdk/issues/3988,Support OS keyring for secret storage,1eecdf9cdb8da72f6c5710aa4576295d80a45f1ba154e09290a4b19ad9a0531f,True,False,field_notes_runtime,investigate,write,ok,write,relevant_with_substance,True,yes,0.97,yes,no,0.27,no,no,0.58,no,no,0.28,no,yes,0.9,yes,yes,0.84,yes,"The issue itself explains secret-reference storage versus encrypted serialization, including desktop and headless deployment tradeoffs. The linked design document is supplementary; ordinary credential storage is not agent memory.","[""incidental_keyword""]","[{""text"": ""Config/settings serialize the ref; the value never touches settings files."", ""supports"": [""design"", ""substance"", ""design_context""]}]",inputs/group-2.json,requests/3988.json,reviews/group-2-tail.json,results/3988.json,responses/3988/attempt-01.json
4015,https://github.com/OpenHands/software-agent-sdk/issues/4015,Add user-visible skill loading warnings to conversation UI,d59507fde3cc9d936f5041b35610d9f1ae371d19cadfd50fe03603a357f38df3,True,False,field_notes_pipeline,investigate,write,ok,write,relevant_with_substance,True,yes,0.92,yes,yes,0.55,no,no,0.11,no,unclear,0.6,no,yes,0.84,yes,yes,0.79,yes,"Skill conflict warnings are generated before a conversation exists, requiring collection and later event emission to explain changed tool/trigger behavior. That timing boundary is substantive. A frontend event consumer is implied, but the text does not identify which target repo owns it.",[],"[{""text"": ""The warning collection and emission would need to be split across these phases."", ""supports"": [""design"", ""substance"", ""design_context""]}]",inputs/group-2.json,requests/4015.json,reviews/group-2.json,results/4015.json,responses/4015/attempt-01.json
4063,https://github.com/OpenHands/software-agent-sdk/issues/4063,bug(agent-server): max_concurrent_runs does not limit native async conversations,076dcf84d826dd894df36d8188500bb374abd7b5fcccd2e0af45d874789a2126,True,False,field_notes_runtime,investigate,write,ok,write,relevant_with_substance,True,yes,0.95,yes,yes,0.95,yes,no,0.1,no,no,0.41,no,yes,0.91,yes,yes,0.86,yes,"A thread-pool limit fails to constrain the newer native async execution path. Shared admission, cancellation, truthful state and queue backpressure form a substantial agent resource-control design problem.",[],"[{""text"": ""no effective global admission/concurrency limit"", ""supports"": [""design"", ""agent_behavior""]}]",inputs/group-1.json,requests/4063.json,reviews/group-1.json,results/4063.json,responses/4063/attempt-01.json
4077,https://github.com/OpenHands/software-agent-sdk/issues/4077,Streaming: correctness & resource-safety bugs in the token/delta pipeline,6b6aede78a8e376ad8018a28384196d67532df66152f9fa8c42da11eaefde1f5,True,False,field_notes_runtime,investigate,write,ok,write,relevant_with_substance,True,yes,0.93,yes,yes,0.95,yes,no,0.5,no,unclear,0.87,yes,yes,0.92,yes,yes,0.77,yes,"Retries, delivery backpressure and durable-versus-transient event ordering expose substantial streaming contracts. The cited agent-canvas repository is not one of the exact supplied repository names, so that mapping remains uncertain.","[""ambiguous_repo_boundary""]","[{""text"": ""All the issues below are in the **live/transient** streaming layer."", ""supports"": [""design"", ""substance""]}]",inputs/group-1.json,requests/4077.json,reviews/group-1.json,results/4077.json,responses/4077/attempt-01.json
4080,https://github.com/OpenHands/software-agent-sdk/issues/4080,One unregistered event kind fails the entire conversation load (should degrade per-event),b0ace7c8e29e2b36ea58f57d90db015c3884a69b6f75e261691097b9d562f36f,True,False,field_notes_runtime,investigate,write,ok,write,relevant_with_substance,True,yes,0.95,yes,yes,0.92,yes,yes,0.96,yes,no,0.91,yes,yes,0.91,yes,yes,0.8,yes,"Persisted conversation recovery has an explicit strictness-versus-degradation tradeoff, including unknown plugin types and version compatibility. The description supports a substantial history/replay and failure-containment investigation.",[],"[{""text"": ""One unknown event kind takes down the whole conversation."", ""supports"": [""design"", ""memory"", ""substance""]}]",inputs/group-2.json,requests/4080.json,reviews/group-2-tail.json,results/4080.json,responses/4080/attempt-01.json
4083,https://github.com/OpenHands/software-agent-sdk/issues/4083,feat(llm): investigate Tool search / defer_loading on the Responses path (GPT-5.4+),36fcf4e983b9d02608c509f20cecf09ac028876069a0158b927b46a7252fb1ac,True,False,field_notes_runtime,investigate,write,ok,write,relevant_with_substance,True,yes,0.94,yes,yes,0.96,yes,yes,0.7,yes,no,0.39,no,yes,0.87,yes,yes,0.82,yes,"Deferred tool schemas change token cost, prompt caching and replay requirements. The issue identifies serialization gaps and a scoped opt-in path, making a substantive agent-context investigation.",[],"[{""text"": ""load tool definitions on demand instead of sending them all up front"", ""supports"": [""agent_behavior"", ""memory"", ""substance""]}]",inputs/group-1.json,requests/4083.json,reviews/group-1.json,results/4083.json,responses/4083/attempt-01.json
4084,https://github.com/OpenHands/software-agent-sdk/issues/4084,feat(llm): investigate WebSocket mode + previous_response_id continuation for Responses (GPT-5.6),b879d0b1702dbbf74bea7cb27b4fc019ecc225f12e1db5e370a1e0520492aa53,True,False,field_notes_pipeline,investigate,write,ok,write,relevant_with_substance,True,yes,0.95,yes,yes,0.97,yes,yes,0.93,yes,no,0.27,no,yes,0.87,yes,yes,0.77,yes,"Transport reuse and response-ID continuation trade full-history replay against connection-local state, compaction, privacy, and recovery. The investigation is well posed despite uncertainty about the upstream transport prerequisite.",[],"[{""text"": ""Continuation semantics must play nice with our condenser/compaction and with reasoning-item replay for stateless requests."", ""supports"": [""design"", ""agent_behavior"", ""memory""]}]",inputs/group-2.json,requests/4084.json,reviews/group-2.json,results/4084.json,responses/4084/attempt-01.json
4085,https://github.com/OpenHands/software-agent-sdk/issues/4085,feat(llm): investigate hosted Multi-agent (GPT-5.6 subagents) vs our client-side subagent system,5eb7564805178c5be83d3db0b607499eddd818d2324602ca6b49b375f550a8b8,True,False,field_notes_site,investigate,write,ok,write,relevant_with_substance,True,yes,0.96,yes,yes,0.94,yes,yes,0.34,no,no,0.54,no,yes,0.89,yes,yes,0.79,yes,"Hosted versus client-owned delegation poses a substantive control/observability tradeoff, including opaque inter-agent messages and provider-owned compaction. OpenAI is not another watched repository.",[],"[{""text"": ""Server-side compaction is auto-enabled"", ""supports"": [""agent_behavior"", ""memory""]}]",inputs/group-3.json,requests/4085.json,reviews/group-3.json,results/4085.json,responses/4085/attempt-01.json
4093,https://github.com/OpenHands/software-agent-sdk/issues/4093,ACP 0.11 drops Gemini model state from NewSessionResponse,4aca35273d7b4ece1360aef6df4876961eddd714e38f443de08829870bad2691,True,False,field_notes_site,investigate,write,ok,write,relevant_with_substance,True,yes,0.93,yes,yes,0.92,yes,no,0.24,no,no,0.76,yes,yes,0.87,yes,yes,0.87,yes,"A dependency upgrade silently discards model-selection data, making the compatibility boundary and version-range promise worth explaining. ACP/Gemini are outside the three watched repos.",[],"[{""text"": ""Pydantic silently discards Gemini's `models` payload"", ""supports"": [""design"", ""agent_behavior"", ""substance""]}]",inputs/group-3.json,requests/4093.json,reviews/group-3.json,results/4093.json,responses/4093/attempt-01.json
4109,https://github.com/OpenHands/software-agent-sdk/issues/4109,Support Unix domain socket binding in openhands-agent-server,eae0149c0e6b6a488fed618f78315d262164b189646cf4a73f51314e43da91d8,True,False,field_notes_runtime,investigate,write,ok,write,relevant_with_substance,True,yes,0.93,yes,no,0.15,no,no,0.04,no,no,0.93,yes,yes,0.84,yes,yes,0.91,yes,Adding a socket bind is coupled to internal secret-resolution transport and filesystem ownership. The issue explains why a Uvicorn flag alone cannot satisfy the isolation contract.,[],"[{""text"": ""treating Uvicorn binding and internal `LookupSecret` transport as one contract."", ""supports"": [""design"", ""substance"", ""design_context""]}]",inputs/group-1.json,requests/4109.json,reviews/group-1.json,results/4109.json,responses/4109/attempt-01.json
4118,https://github.com/OpenHands/software-agent-sdk/issues/4118,Define a migration path from Python custom tools to client-defined tools,80be86a110fb5af788a66ba097b8a45808f9d813c7441828582e6f1e70e18820,True,False,field_notes_runtime,investigate,write,ok,write,relevant_with_substance,True,yes,0.97,yes,yes,0.95,yes,yes,0.97,yes,unclear,0.7,yes,yes,0.91,yes,yes,0.78,yes,"Historical tool migration raises preservation, deserialization, execution-safety and model-context questions. The concrete Canvas contract is clear, but its cited repository name is outside the supplied exact allowlist.","[""ambiguous_repo_boundary""]","[{""text"": ""Unknown historical events must never execute code."", ""supports"": [""design"", ""memory"", ""agent_behavior""]}]",inputs/group-1.json,requests/4118.json,reviews/group-1.json,results/4118.json,responses/4118/attempt-01.json
4162,https://github.com/OpenHands/software-agent-sdk/issues/4162,Adopt Release Please for automated software-agent-sdk releases,48a913807d2ece188e01d2f6152b912feaea84082872605892dccf8ebe1b1782,True,False,field_notes_runtime,skip,skip,ok,skip,below_threshold,True,no,0.85,yes,no,0.05,no,no,0.03,no,no,0.72,yes,no,0.59,no,yes,0.86,yes,"The release-automation migration is clearly scoped with preservation checks, but mainly adopts an established workflow rather than exposing a new software/agent design mechanism.","[""routine_but_clear""]","[{""text"": ""Adopt the shared `OpenHands/release-actions` Release Please workflow"", ""supports"": [""design_context""]}]",inputs/group-1.json,requests/4162.json,reviews/group-1.json,results/4162.json,responses/4162/attempt-01.json
4187,https://github.com/OpenHands/software-agent-sdk/issues/4187,[Feature]: Support server-owned conversations with remote execution-only workspaces,77329324ba774fb4691bc8ca5e922511e7cfbe548d824af327bc8f3d66a17f98,True,False,field_notes_site,investigate,write,ok,write,relevant_with_substance,True,yes,0.96,yes,yes,0.93,yes,yes,0.83,yes,no,0.8,yes,yes,0.87,yes,yes,0.82,yes,"The feature separates trusted reasoning, memory and credentials from untrusted remote execution, challenging conversation/workspace coupling. It supplies a concrete topology, alternatives and acceptance scenario; generic cloud workspace usage alone is not watched cross-repository interaction.",[],"[{""text"": ""conversation placement and workspace placement become independent choices."", ""supports"": [""design"", ""memory"", ""design_context""]}]",inputs/group-3.json,requests/4187.json,reviews/group-3.json,results/4187.json,responses/4187/attempt-01.json
